Video_ID,Question,Start_timestamp
502,Where p2p computing applications are used?,865
502,what is p2p file sharing?,888
502,What is napster?,991
502,What is fasttrack,1022
502,where are the process sharing applications used?,1039
502,What is SETI?,1061
502,What is folding home?,1085
502,What do we mean by centralised topology?,1209
503,What is a proxy server?,39
503,where does a proxy server resides?,107
503,how are the reverse proxy managed?,262
503,what is the main purpose of proxy servers?,115
503,what are the different types of proxy servers?,157
503,what is a gateway?,174
503,what is a forward proxy?,183
503,what is a reverse proxy?,230
503,where does a reverse proxy sit?,205
503,what are the roles played by reverse proxies?,284
503,what are some examples of reverse proxy?,393
503,what does a proxy server prevents?,432
503,what are the steps invovled in operating reverse proxy?,443
503,what are the alternate names by which forward proxies are called?,469
503,what does a forward proxy provide?,478
503,what does a forward proxy keeps track of?,572
503,how does a forward server acts?,582
503,where are the proxy servers used ideally?,594
503,why one would like to use forward proxy?,615
503,what are the benefits of reverse proxy?,755
503,what is nginix?,778
503,how does a nginix proxy server works?,821
504,what are the types of disks in which we can store data?,43
504,what all do we have in a magnetic disk?,54
504,what all do we have in a solid state disk?,62
504,how does read or write happen in a magnetic disk?,80
504,what is seek latency?,117
504,what is rotational latency?,132
504,what is transfer latency?,144
504,what is direct attached storage?,214
504,what is network attached storage?,260
504,what is the big difference between a NAS and a SAN,303
504,what is RAID,370
504,what is stripping?,428
504,what are v nodes?,680
504,what is a block?,711
504,what is storage virtualization ?,789
504,what are the categories of storage virtualization?,922
504,what do we do in block level virtualization?,976
504,what is file virtualization?,1009
504,what is distributed file system?,1125
504,what do we have in a centralized metadata scheme ?,1261
504,what is lustre ?,1308
504,what is gluster file system?,1455
504,what is a brick?,1540
504,Block level virtualization can me done in how many levels?,1658
504,what are the different levels in block level storage virtualization?,1658
